Time,H2O2_ppm
2.13675213675213E-06,4904.36550332384
5.79975579975579E-06,4704.45835029169
1.0989010989011E-05,4556.52854090354
1.4957264957265E-05,4391.32241215575
2.07570207570208E-05,4217.30854022521
2.71672771672772E-05,4051.9328279745
3.23565323565324E-05,3947.40579636413
3.75457875457876E-05,3842.87876475376
4.27350427350427E-05,3694.94895536562
4.97557997557997E-05,3494.80862501696
5.64713064713065E-05,3364.1339370506
6.13553113553113E-05,3259.6281033781
6.74603174603175E-05,3094.27358906526
7.26495726495727E-05,2955.02433523267
7.72283272283272E-05,2867.90081060914
8.11965811965812E-05,2763.45857075024
8.85225885225885E-05,2606.69982024149
9.67643467643468E-05,2449.87747591914
0.000103174603175,2319.22398589065
0.000107448107448,2223.44110364944
0.000113553113553,2066.76714489215
0.000121184371184,1909.98719644553
0.000127594627595,1805.37537308371
0.000135225885226,1726.72042463709
0.000142246642247,1622.06620539954
0.000150183150183,1534.7095034595
0.000155982905983,1447.50118708452
0.000163003663004,1368.88863451364
0.000172161172161,1272.76658526659
0.000179181929182,1211.51514380681
0.000188644688645,1150.09411884412
0.000197496947497,1062.67382309049
0.000206654456654,983.912884954552
0.000215201465201,870.472120472121
0.000223748473748,757.03135598969
0.000229853479853,713.20461945462
0.000238095238095,643.187830687832
0.000248473748474,546.980989689324
