Reaction,ln Uncertainty factor A,Uncertainty n,Uncertainty Ea (J/kmol),Correlation
2 OH (+M) <=> H2O2 (+M),1.098612289,3,12552,
H2O2 + OH <=> H2O + HO2,1E-06,1E-06,1E-06,
2 HO2 <=> H2O2 + O2,1E-06,1E-06,1E-06,
HO2 + OH <=> H2O + O2,1E-06,1E-06,1E-06,
2 OH <=> H2O + O,1E-06,1E-06,1E-06,
H + HO2 <=> H2 + O2,1E-06,1E-06,1E-06,
H + HO2 <=> 2 OH,1E-06,1E-06,1E-06,
H + O2 <=> O + OH,1E-06,1E-06,1E-06,
H2 + O <=> H + OH,1E-06,1E-06,1E-06,
H2 + O <=> H + OH,1E-06,1E-06,1E-06,
H2 + OH <=> H + H2O,1E-06,1E-06,1E-06,
H2 + M <=> 2 H + M,1E-06,1E-06,1E-06,
AR + H2 <=> AR + 2 H,1E-06,1E-06,1E-06,
H2 + HE <=> 2 H + HE,1E-06,1E-06,1E-06,
2 O + M <=> O2 + M,1E-06,1E-06,1E-06,
AR + 2 O <=> AR + O2,1E-06,1E-06,1E-06,
HE + 2 O <=> HE + O2,1E-06,1E-06,1E-06,
H + O + M <=> OH + M,1E-06,1E-06,1E-06,
H2O + M <=> H + OH + M,1E-06,1E-06,1E-06,
2 H2O <=> H + H2O + OH,1E-06,1E-06,1E-06,
H + O2 (+M) <=> HO2 (+M),1E-06,1E-06,1E-06,
HO2 + O <=> O2 + OH,1E-06,1E-06,1E-06,
H + H2O2 <=> H2O + OH,1E-06,1E-06,1E-06,
H + H2O2 <=> H2 + HO2,1E-06,1E-06,1E-06,
H2O2 + O <=> HO2 + OH,1E-06,1E-06,1E-06,
H + HCO <=> CH + OH ,1E-06,1E-06,1E-06,
CH2 + H <=> CH + H2 ,1E-06,1E-06,1E-06,H + HO2 <=> 2 OH
CH2 + OH <=> CH + H2O,1E-06,1E-06,1E-06,H + HO2 <=> 2 OH
CH2 + O => CO + H + H,1E-06,1E-06,1E-06,H + HO2 <=> 2 OH
CH3 + H <=> CH2 + H2 ,1E-06,1E-06,1E-06,H + HO2 <=> 2 OH
CH3 + OH <=> CH2 + H2O,1E-06,1E-06,1E-06,H + HO2 <=> 2 OH
CH4 + O <=> CH3 + OH,1E-06,1E-06,1E-06,H + HO2 <=> 2 OH
CH4 + H <=> CH3 + H2,1E-06,1E-06,1E-06,H + HO2 <=> 2 OH
CH4 + OH <=> CH3 + H2O,1E-06,1E-06,1E-06,H + HO2 <=> 2 OH
C2H6 + H <=> C2H5 + H2,1E-06,1E-06,1E-06,H + HO2 <=> 2 OH
C2H6 + OH <=> C2H5 + H2O,1E-06,1E-06,1E-06,H + HO2 <=> 2 OH
C2H6 + O <=> C2H5 + OH,1E-06,1E-06,1E-06,H + HO2 <=> 2 OH
